127.0.0.1 - - [27/Feb/2017:20:32:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:32:46 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 30270
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:32:46 +0530] "GET /penandpaper.in/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:32:46 +0530] "GET /penandpaper.in/Resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:32:50 +0530] "GET /penandpaper.in/Resources/images/marker.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/ HTTP/1.1" 200 30270
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/Resources/css/header.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/Resources/css/footer.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/Resources/css/index.css HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/Resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:06 +0530] "GET /penandpaper.in/Resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:08 +0530] "GET /penandpaper.in/Resources/images/logo.png HTTP/1.1" 200 23875
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:09 +0530] "GET /penandpaper.in/Resources/images/banner.jpg HTTP/1.1" 200 58249
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:11 +0530] "GET /penandpaper.in/Resources/images/discount.jpg HTTP/1.1" 200 38637
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:11 +0530] "GET /penandpaper.in/Resources/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:11 +0530] "GET /penandpaper.in/Resources/images/slide4.png HTTP/1.1" 200 519485
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:11 +0530] "GET /penandpaper.in/Resources/images/slide3.png HTTP/1.1" 200 471694
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:11 +0530] "GET /penandpaper.in/Resources/images/slide2.png HTTP/1.1" 200 442692
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/slide1.png HTTP/1.1" 200 456583
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/scl.png HTTP/1.1" 200 216243
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/art.png HTTP/1.1" 200 213900
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/office.png HTTP/1.1" 200 258597
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/envelopes.png HTTP/1.1" 200 233509
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/party.png HTTP/1.1" 200 264511
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/color%20chalk.jpeg HTTP/1.1" 200 38808
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/liquid%20gum%20tube.jpg HTTP/1.1" 200 17948
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/officemachines.png HTTP/1.1" 200 238307
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/marker.jpg HTTP/1.1" 200 22590
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/notepad.jpg HTTP/1.1" 200 34047
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/ashoka%20stamp%20pad.jpg HTTP/1.1" 200 46576
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/class%20mate%20registers.jpg HTTP/1.1" 200 46260
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/folders.jpg HTTP/1.1" 200 18492
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:12 +0530] "GET /penandpaper.in/Resources/images/envelops.jpg HTTP/1.1" 200 26085
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:22 +0530] "GET /penandpaper.in/admin/product/productform HTTP/1.1" 200 8552
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:22 +0530] "GET /penandpaper.in/admin/product/Resources/css/header.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:22 +0530] "GET /penandpaper.in/admin/product/Resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:22 +0530] "GET /penandpaper.in/admin/product/Resources/css/footer.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:22 +0530] "GET /penandpaper.in/admin/product/Resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:23 +0530] "GET /penandpaper.in/admin/product/Resources/images/logo.png HTTP/1.1" 200 23875
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:23 +0530] "GET /penandpaper.in/admin/product/Resources/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/css/header.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/Resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Feb/2017:20:34:38 +0530] "GET /penandpaper.in/all/product/getAllProducts HTTP/1.1" 200 30332
